City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,whitehorse,60.7161,-135.0538,-1.06,86,100,7.15,CA,1698631709
83,punta arenas,-53.15,-70.9167,5.06,56,65,7.47,CL,1698631709
84,rodez,44.5,2.5833,14.17,88,75,2.57,FR,1698631709
85,vila franca do campo,37.7167,-25.4333,14.93,99,100,1.1,PT,1698631710
86,dudinka,69.4058,86.1778,-19.1,100,65,0.6,RU,1698631710
87,ushuaia,-54.8,-68.3,-0.19,80,100,6.69,AR,1698631668
88,pisco,-13.7,-76.2167,20.03,77,0,9.26,PE,1698631414
89,yuzhno-kurilsk,44.0306,145.8556,7.99,76,3,1.44,RU,1698631711
90,codrington,-38.2667,141.9667,12.28,87,100,6.99,AU,1698631712
91,st. john's,47.5649,-52.7093,4.98,67,10,6.26,CA,1698631712
92,holualoa,19.6228,-155.9522,27.92,65,20,5.66,US,1698631712
93,union,40.6334,-74.2663,13.03,84,100,5.14,US,1698631664
94,chonchi,-42.6128,-73.8092,4.56,96,100,3.16,CL,1698631713
95,chulakkurgan,43.765,69.1814,15.42,50,74,3.67,KZ,1698631713
96,nuuk,64.1835,-51.7216,9.34,43,100,7.72,GL,1698631419
97,mahina,-17.5065,-149.489,27.64,78,40,3.09,PF,1698631714
98,ilulissat,69.2167,-51.1,-4.99,80,75,0.0,GL,1698631715
99,guiglo,6.5456,-7.4966,22.26,92,0,0.18,CI,1698631715
100,talnakh,69.4865,88.3972,-19.33,93,33,2.04,RU,1698631715
101,tura,25.5198,90.2201,22.89,82,1,0.54,IN,1698631716
102,calama,-22.4667,-68.9333,10.08,46,3,0.87,CL,1698631716
103,thunder bay,48.4001,-89.3168,-3.03,69,15,3.18,CA,1698631716
104,san patricio,28.017,-97.5169,26.97,77,5,9.23,US,1698631717
105,sagua de tanamo,20.5819,-75.2414,24.67,95,45,0.84,CU,1698631717
106,albany,42.6001,-73.9662,6.88,93,100,0.79,US,1698631433
107,kijang,35.2442,129.2139,18.21,55,6,1.1,KR,1698631718
108,papatowai,-46.5619,169.4708,14.72,56,7,5.48,NZ,1698631718
109,laramie,41.3114,-105.5911,-9.79,74,0,3.09,US,1698631673
110,lazaro cardenas,17.9583,-102.2,26.88,82,55,2.19,MX,1698631719
111,pacocha,-17.5833,-71.3333,18.75,84,29,3.56,PE,1698631719
112,tanumah,27.1,44.1333,21.88,33,84,3.33,SA,1698631720
113,tofol,5.3248,163.0078,28.88,74,100,5.14,FM,1698631720
114,farshut,26.0549,32.1633,24.32,42,0,2.04,EG,1698631720
115,alofi,-19.0595,-169.9187,23.97,84,6,10.25,NU,1698631721
116,kerikeri,-35.2268,173.9474,18.28,93,100,1.79,NZ,1698631721
117,mount pearl,47.5166,-52.7813,4.52,67,10,3.58,CA,1698631722
118,boca do acre,-8.7522,-67.3978,23.35,86,100,1.35,BR,1698631572
119,arteche,12.2645,125.4048,27.72,87,100,4.61,PH,1698631722
120,jining,35.405,116.5814,23.34,42,0,5.08,CN,1698631723
121,susuman,62.7833,148.1667,-13.34,92,88,0.89,RU,1698631723
122,ebon,4.582,168.6964,28.52,72,99,2.72,MH,1698631723
123,chavusy,53.8075,30.9712,4.36,95,100,6.92,BY,1698631724
124,verkhnevilyuysk,63.4453,120.3167,-9.54,88,100,2.28,RU,1698631724
125,salalah,17.0151,54.0924,25.05,83,0,1.03,OM,1698631560
126,arraial do cabo,-22.9661,-42.0278,23.41,95,100,2.38,BR,1698631724
127,college,64.8569,-147.8028,-1.97,86,75,0.0,US,1698631725
128,ambodifotatra,-16.9833,49.85,25.17,75,19,1.7,MG,1698631725
129,eyl,7.9803,49.8164,26.24,78,88,4.23,SO,1698631725
130,petropavlovsk-kamchatsky,53.0452,158.6483,3.03,59,75,3.0,RU,1698631726
